store_id,store_name,region,email
1,Olson-Senger,Indonesia,wmccrudden0@weather.com
2,Runolfsson-Stokes,Indonesia,lsaunders1@jalbum.net
3,"Strosin, Jast and Homenick",Tunisia,mingley2@cam.ac.uk
4,Bruen-Murray,China,jmissen3@wsj.com
5,Miller and Sons,Russia,mlivoir4@ezinearticles.com
6,Stokes-Champlin,Venezuela,asealey5@cyberchimps.com
7,Ward-Connelly,China,tgrieger6@fastcompany.com
8,Ziemann-Altenwerth,Nigeria,chaggarty7@weibo.com
9,"Sanford, Connelly and McGlynn",Nigeria,ioxer8@moonfruit.com
10,Hodkiewicz Inc,China,rbonnyson9@mysql.com
11,Beahan-Medhurst,Sweden,kkiezlera@oaic.gov.au
12,Schowalter and Sons,Sweden,mbazireb@cdc.gov
13,Lubowitz LLC,France,ktremblec@a8.net
14,Ziemann-Rohan,China,ncrannd@cdc.gov
15,Rohan and Sons,Philippines,bfaivree@sciencedaily.com
16,"McLaughlin, Lakin and Leffler",Czech Republic,epollf@com.com
17,"Bernhard, Balistreri and Heathcote",France,aberesforeg@alibaba.com
18,Murazik-Lowe,Poland,gbrittonerh@pen.io
19,Gibson Group,Mali,adruetti@clickbank.net
20,Kassulke Group,Brazil,wemptagej@youtube.com
21,"Auer, Kassulke and Bernhard",Nepal,jhartshornek@flavors.me
22,Bednar and Sons,Vietnam,stamlettl@tinyurl.com
23,"Wyman, Langworth and Quitzon",Philippines,blucianom@zdnet.com
24,Christiansen-Dicki,China,cyearnen@businessweek.com
25,"Moen, Maggio and Welch",Thailand,rgarawayo@amazon.co.jp
26,"Schaefer, Rogahn and Casper",Norway,tfontep@spiegel.de
27,"Osinski, Kihn and Leuschke",China,miresonq@bluehost.com
28,Gottlieb and Sons,Vietnam,wmerguer@domainmarket.com
29,Schmeler Inc,Indonesia,ctestos@live.com
30,"McLaughlin, Considine and Rutherford",Indonesia,dkeppint@huffingtonpost.com
31,Maggio LLC,Brazil,mquinellu@businessweek.com
32,Keeling-Sauer,Mexico,kbrimmellv@vimeo.com
33,Nikolaus Group,China,walesiow@mtv.com
34,"Grant, Auer and Reichert",Bolivia,rbrainsbyx@angelfire.com
35,"Padberg, Bergstrom and Medhurst",Ukraine,mtomasuttiy@ucla.edu
36,Braun and Sons,Bulgaria,theavyz@cdbaby.com
37,Feil and Sons,Brazil,dmaclachlan10@nymag.com
38,Becker-DuBuque,Tajikistan,jyakovliv11@admin.ch
39,Powlowski and Sons,Colombia,pmccaughey12@unc.edu
40,Osinski-Carter,Peru,cprobbin13@hibu.com
41,Schinner and Sons,China,ggrills14@zimbio.com
42,Carter-Haag,Indonesia,mgullberg15@seesaa.net
43,Keebler and Sons,Ukraine,folahy16@yahoo.com
44,Mann-Jacobson,Sweden,rtopper17@pcworld.com
45,Mertz and Sons,Indonesia,jvogele18@sfgate.com
46,Brekke Inc,China,afaro19@csmonitor.com
47,O'Reilly Group,United States,wcescot1a@va.gov
48,Bauch Group,China,llouca1b@angelfire.com
49,"Harvey, Dibbert and Walker",China,mbraisted1c@scientificamerican.com
50,Turner LLC,Philippines,epurselow1d@tamu.edu
